frequency_ghz,signal_power_dbm,gain_db,compression_db,observed_pump_depletion_db_port2,required_depletion_db,observed_minus_required_db,converted_fraction_relative_port2_pump,pump_port_reference_power_w,status
6.03,-102.68726657994631,7.2337139050764545,0.06994204310738361,-0.014477313021425076,0.021171279974532248,-0.03564859299595732,0.0033279744908881748,1.184805698559986e-10,VALID_SOLVED
6.03,-97.35393324661295,7.0691276405457115,0.2345283076381266,-0.046583669546850004,0.07186890731178062,-0.11845257685863063,0.01066896483049995,1.184805698559986e-10,VALID_SOLVED
6.03,-92.02059991327963,6.548061618240579,0.7555943299432588,-0.13040387631332528,0.24064937995684935,-0.3710532562701746,0.029580282062039553,1.184805698559986e-10,VALID_SOLVED
6.03,-86.68726657994628,5.093692767439486,2.209963180744352,-0.21682157446173278,0.7720279568952595,-0.9888495313569923,0.04869924252686675,1.184805698559986e-10,VALID_SOLVED
6.03,-81.35393324661295,1.8038498411321602,5.499806107051678,0.22729202550854843,2.212279726005621,-1.9849877004970726,-0.0537296550608648,1.184805698559986e-10,VALID_SOLVED
6.03,-76.02059991327963,0.7042668378209039,6.599389110362934,0.6820562073931828,5.143135662006985,-4.461079454613802,-0.17005323242376358,1.184805698559986e-10,VALID_SOLVED
6.257,-156.02059991327963,8.788233915751558,0.0,-1.092658461487872e-07,1.386534136750196e-07,-2.479192598238068e-07,2.515939057090577e-08,1.184805698559986e-10,VALID_SOLVED
6.257,-150.68726657994628,8.78823311413613,8.016154282586285e-07,-3.731295059594686e-07,4.7343883899813563e-07,-8.465683449576042e-07,8.591624012233012e-08,1.184805698559986e-10,VALID_SOLVED
6.257,-145.35393324661297,8.788230377041677,3.53870988156757e-06,-1.2741040116281965e-06,1.6165798405828659e-06,-2.8906838522110624e-06,2.9337324736200543e-07,1.184805698559986e-10,VALID_SOLVED
6.257,-140.02059991327963,8.788221031069938,1.2884681620306537e-05,-4.350515681039724e-06,5.5198883943992095e-06,-9.870404075438933e-06,1.0017427536368473e-06,1.184805698559986e-10,VALID_SOLVED
6.257,-134.6872665799463,8.78818911893264,4.479681891744747e-05,-1.4854958640952987e-05,1.8847899778374984e-05,-3.370285841932797e-05,3.420474782522831e-06,1.184805698559986e-10,VALID_SOLVED
6.257,-129.35393324661294,8.78808015476265,0.0001537609889084024,-5.072155201979456e-05,6.435673777113497e-05,-0.00011507828979092953,1.167900075738082e-05,1.184805698559986e-10,VALID_SOLVED
6.257,-124.02059991327963,8.787708107507127,0.0005258082444310475,-0.00017317416035211863,0.00021974529523040165,-0.0003929194555825203,3.9874029021613744e-05,1.184805698559986e-10,VALID_SOLVED
6.257,-118.68726657994628,8.786437994765384,0.0017959209861739822,-0.0005910978538352651,0.0007502852201870225,-0.0013413830740222877,0.00013609604876663184,1.184805698559986e-10,VALID_SOLVED
6.257,-113.35393324661297,8.782103854418942,0.006130061332616066,-0.0020158921686252995,0.0025613514050898626,-0.004577243573715162,0.0004640686124919302,1.184805698559986e-10,VALID_SOLVED
6.257,-108.02059991327963,8.767336599144551,0.020897316607007,-0.006855018231062715,0.008739639474900862,-0.015594657705963577,0.0015771812195098933,1.184805698559986e-10,VALID_SOLVED
