ratio,flux_over_flux0,equilibrium_flux_rad,g1_over_Ic,g2_over_Ic,g3_over_Ic,g3_over_g1,status
0.03,0.43000000000000005,2.6600881592624366,0.30671218546386025,,-0.0017407478417741918,-0.00567550923723995,STABLE
0.03,0.44,2.7284680936337993,0.3058330292968023,,-0.0015930374200093308,-0.005208846878547356,STABLE
0.03,0.45,2.7970324164045013,0.3050794956737059,,-0.0014664021216915287,-0.004806623003139816,STABLE
0.03,0.46,2.8657530257480954,0.3044563007659384,,-0.001361649154730826,-0.0044723960427333785,STABLE
0.03,0.47000000000000003,2.934600422886474,0.30396739299776326,,-0.0012794547335705103,-0.004209184152788142,STABLE
0.03,0.48000000000000004,3.00354395460016,0.30361590077296735,,-0.0012203548965369372,-0.004019403771113665,STABLE
0.03,0.49,3.072552079581273,0.30340409009454117,,-0.0011847380560913254,-0.003904819001359406,STABLE
0.03,0.5,3.141592653589793,0.30333333333333334,,-0.0011728395061728393,-0.0038665038665038655,STABLE
0.035,0.2,1.160341871015394,0.34712754294838843,,-0.008497311938794404,-0.024478933208874756,STABLE
0.035,0.21000000000000002,1.2208162821412696,0.34515388818648934,,-0.008169630102087022,-0.023669529394589658,STABLE
0.035,0.22,1.2816409502915609,0.3431257107982531,,-0.007832697885430619,-0.022827487532801043,STABLE
0.035,0.23,1.3428293676419214,0.34104945237945095,,-0.007487569748814666,-0.021954498670427453,STABLE
0.035,0.24000000000000002,1.404394256600305,0.33893194069579746,,-0.00713536658924357,-0.021052505628697284,STABLE
0.035,0.25,1.4663474580799438,0.3367803917312433,,-0.006777276438598079,-0.02012372633620091,STABLE
0.035,0.26,1.5286998099086953,0.334602408880522,,-0.006414554677527486,-0.019170676920673216,STABLE
0.035,0.27,1.591461015596972,0.33240597869514465,,-0.006048523659786168,-0.018196193953940204,STABLE
0.035,0.28,1.654639503981468,0.330199462545012,,-0.005680571632593567,-0.01720345511410154,STABLE
0.035,0.29000000000000004,1.7182422805920354,0.32799158352040575,,-0.00531215083142273,-0.016195997392391134,STABLE
0.035,0.30000000000000004,1.7822747719937724,0.32579140787462996,,-0.004944774622695895,-0.015177731834470992,STABLE
0.035,0.31,1.8467406648115698,0.3236083203018651,,-0.004580013566250442,-0.0141529536755364,STABLE
0.035,0.32,1.9116417416524174,0.3214519923634147,,-0.004219490272138909,-0.013126346615915828,STABLE
0.035,0.33,1.976977716691961,0.31933234342460914,,-0.0038648729344593785,-0.012102979901789475,STABLE
0.035,0.34,2.0427460742683468,0.31725949355039723,,-0.003517867439616566,-0.011088296839437987,STABLE
0.035,0.35,2.1089419144001544,0.315243707935961,,-0.0031802079687647,-0.010088093397920352,STABLE
0.035,0.36,2.1755578097065555,0.31329533262353254,,-0.0028536460449268327,-0.00910848566121437,STABLE
0.035,0.37,2.2425836786816613,0.31142472148176203,,-0.0025399380151396836,-0.008155865093351075,STABLE
0.035,0.38,2.3100066806607904,0.30964215469821044,,-0.002240831006735908,-0.007236840891124501,STABLE
0.035,0.39,2.377811138037487,0.3079577493560211,,-0.0019580474540803025,-0.006358169126040274,STABLE
0.035,0.4,2.4459784912991425,0.3063813630244136,,-0.0016932683562842655,-0.005526668918661804,STABLE
0.035,0.41000000000000003,2.5144872922224835,0.3049224916758559,,-0.001448115495228158,-0.004749126531366402,STABLE
0.035,0.42000000000000004,2.5833132400344905,0.30359016363345687,,-0.001224132913552838,-0.00403218898432694,STABLE
0.035,0.43000000000000005,2.652429264511586,0.30239283162676067,,-0.001022768019907004,-0.003382249554015198,STABLE
0.035,0.44,2.7218056588266992,0.30133826536715547,,-0.0008453527490458398,-0.0028053282513452057,STABLE
0.035,0.45,2.7914102634982596,0.30043344731707267,,-0.0006930852522242514,-0.0023069510349584357,STABLE
0.035,0.46,2.861208701088161,0.2996844744927987,,-0.0005670126237768391,-0.0018920320271394778,STABLE
0.035,0.47000000000000003,2.931164659411714,0.29909646918509203,,-0.00046801517847796836,-0.001564763301128584,STABLE
0.035,0.48000000000000004,3.0012402190684995,0.2986735013873779,,-0.00039679277803436375,-0.0013285168459579067,STABLE
0.035,0.49,3.0713962191933324,0.29841852547994996,,-0.00035385366238081806,-0.001185763054795982,STABLE
0.035,0.5,3.141592653589793,0.29833333333333334,,-0.0003395061728395053,-0.001138009517897783,STABLE
0.04,0.2,1.1472179272056862,0.3495526533787463,,-0.008908902366292881,-0.025486582007546464,STABLE
0.04,0.21000000000000002,1.2072843070449668,0.3473226554696328,,-0.008538916980543333,-0.024584969756716344,STABLE
0.04,0.22,1.2677414183113478,0.3450278202552897,,-0.008157921345184815,-0.02364424219226346,STABLE
0.04,0.23,1.3286055350828103,0.34267511223975466,,-0.007767050543551361,-0.022665931274626967,STABLE
0.04,0.24000000000000002,1.3898922221318948,0.3402719588543641,,-0.007367519225037013,-0.021651855327256924,STABLE
0.04,0.25,1.45161620648917,0.33782626006031413,,-0.006960623681139707,-0.020604152205032804,STABLE
0.04,0.26,1.5137912347142017,0.3353463951562991,,-0.006547743455924492,-0.019525313378939715,STABLE
