Frequency_GHz,Insertion_Loss_dB
18.000000,-44.6512
18.020000,-44.8195
18.040000,-45.1747
18.060000,-45.1041
18.080000,-45.1146
18.100000,-45.8194
18.120000,-45.6079
18.140000,-44.5106
18.160000,-44.4015
18.180000,-44.5769
18.200000,-44.7800
18.220000,-44.5572
18.240000,-44.1653
18.260000,-43.8577
18.280000,-44.2074
18.300000,-45.2830
18.320000,-45.5540
18.340000,-45.3286
18.360000,-45.2607
18.380000,-45.0749
18.400000,-44.9998
18.420000,-45.1361
18.440000,-45.0577
18.460000,-44.9621
18.480000,-45.1572
18.500000,-45.2715
18.520000,-45.3311
18.540000,-45.5246
18.560000,-45.1901
18.580000,-45.0000
18.600000,-45.5371
18.620000,-45.5943
18.640000,-45.5376
18.660000,-45.4378
18.680000,-45.1336
18.700000,-45.1423
18.720000,-45.2926
18.740000,-45.4561
18.760000,-45.5721
18.780000,-45.7058
18.800000,-46.1088
18.820000,-46.3465
18.840000,-45.6761
18.860000,-45.0998
18.880000,-45.2329
18.900000,-45.3725
18.920000,-45.1682
18.940000,-45.4894
18.960000,-46.1195
18.980000,-46.3232
19.000000,-46.2418
19.020000,-45.5930
19.040000,-45.3279
19.060000,-45.6930
19.080000,-45.7343
19.100000,-45.8020
19.120000,-45.9046
19.140000,-45.9545
19.160000,-46.2238
19.180000,-46.3028
19.200000,-46.0335
19.220000,-45.5220
19.240000,-45.4796
19.260000,-45.9944
19.280000,-46.1677
19.300000,-46.0707
19.320000,-46.2529
19.340000,-46.2016
19.360000,-46.0871
19.380000,-46.0308
19.400000,-46.2874
19.420000,-46.4929
19.440000,-45.8326
19.460000,-45.7592
19.480000,-46.1548
19.500000,-46.1794
19.520000,-46.2643
19.540000,-46.4226
19.560000,-46.2474
19.580000,-46.2210
19.600000,-46.6438
19.620000,-46.9040
19.640000,-46.5409
19.660000,-45.7619
19.680000,-45.8410
19.700000,-46.7712
19.720000,-46.8736
19.740000,-46.0966
19.760000,-46.2319
19.780000,-46.9393
19.800000,-46.5171
19.820000,-46.4013
19.840000,-46.1903
19.860000,-46.0908
19.880000,-46.2662
19.900000,-46.6837
19.920000,-47.2042
19.940000,-46.9343
19.960000,-46.9624
19.980000,-46.8884
20.000000,-46.1056
